Driver,dry_laps,Team,races
NOR,2292,McLaren,47
RUS,2284,Mercedes,47
PIA,2257,McLaren,46
LEC,2213,Ferrari,46
VER,2191,Red Bull Racing,46
HAM,2137,"Ferrari,Mercedes",46
SAI,2112,"Ferrari,Williams",44
OCO,2089,"Alpine,Haas F1 Team",44
STR,2076,Aston Martin,45
TSU,2069,"Racing Bulls,Red Bull Racing",45
ALO,2062,Aston Martin,45
HUL,2035,"Haas F1 Team,Kick Sauber",45
GAS,2026,Alpine,44
ALB,1958,Williams,45
LAW,1277,"Racing Bulls,Red Bull Racing",28
COL,1197,"Alpine,Williams",24
BEA,1164,"Ferrari,Haas F1 Team",26
HAD,1124,Racing Bulls,23
BOT,1085,Kick Sauber,23
ZHO,1052,Kick Sauber,23
ANT,1037,Mercedes,23
MAG,1034,Haas F1 Team,21
BOR,998,Kick Sauber,21
PER,992,Red Bull Racing,21
RIC,836,Racing Bulls,17
SAR,653,Williams,13
DOO,241,Alpine,5
