Driver,Regime Spread,Regime Stability
ALB,0.6177921778707998,0.06467963038517548
ALO,1.0189709439253138,0.2060547640652534
BOT,1.028131526756764,0.21844031716979687
DEV,0.007514509507088318,2.823392656606036e-05
GAS,2.321217914262639,0.9204109187037463
HAM,0.3618951038385022,0.022873450798231595
HUL,1.243629396794863,0.3067207093522383
LAW,1.3432477297913905,0.45683321290992396
LEC,1.8929188065630662,0.7741061878301299
MAG,0.7423700169402039,0.09451188293514046
NOR,1.3794795316357424,0.36209775366074903
OCO,2.2656263336049816,0.9338978043241221
PER,1.4445702174488289,0.39532774444866475
PIA,0.5060279593559645,0.0640615698448819
RIC,0.43114192313636424,0.0929416789428613
RUS,0.9899386921141442,0.2110542362487785
SAI,0.7770845425079375,0.1509664065466267
SAR,0.8983400457197608,0.16842626847664618
STR,0.9943074648631227,0.2274335324492418
TSU,0.08455252343293584,0.0023286674177075166
VER,1.666645975510646,0.5597207620151113
ZHO,0.3888663780834227,0.03233004541689254
